Hello	chào
Thank you	cảm ơn
Sorry	xin lỗi
I, you (older male)	anh
I, you (older female)	chị
I, you (younger male or female)	em
Name	tên 
Is/am/are	là
What	gì
How much/how many	bao nhiêu
Person	người
Country	nước
Which	nào
Live	sống
Where	Ở đâu
At/in	ở
Age	tuổi
Work	làm việc
Study	học
This	cái nầy
Street	đường
District	quận
City	thành phố
Company	công ty
House/home	nhà
Like (prefer,attraction)	thích
Eat	ăn
Drink	uống
Speak, say	nói
Can, ok ,possible	được
Language	tiếng
Slow	từ từ
Vietnamese language	tiếng Việt 
English language	tiếng Anh
Teacher	giáo viên
No, not	không
Know	biết
Understand	hiểu
Again	lại
Time (one time…)	lần
More	nữa 
Right, correct	đúng
Already	rồi
We (including listener)	mình
Confirmations (question word) 	hà? (huh?)
Of, Belonging to	của
Question particle	vậy
Travel	du lịch
Not yet	chưa
Yes (polite word)	dạ
