May reservation akó.	I have a reservation.
May libró sa mesa.	There's a book on the table.
May tao sa labás ng pintô.	There's someone outside the door.
May masamâ ba?	Is there something wrong?
May mga anák silá.	They have children.
May hiníhintáy lang akó.	I'm just waiting for someone / something.
May púpuntahán lang akó.	I just have to go somewhere.
May ginagawâ ka ba?	Are you doing something? / Do you have something you're doing?
Sandalî lang. May tinatapos lang akó.	Just a moment. I'm just finishing something.
Nakakainís! May exam na namán kamí bukas.	How annoying! We have an exam again tomorrow.
May pera din silá.	They have money too.
May nagnakaw ng bag ni Wendy.	Someone stole Wendy's bag.
May bakanteng kuwarto pô ba kayó?	Do you have a vacant room? (polite)
May naiiwan pang mantsá sa damít mo.	There's still a stain left on your clothes.
Kúkumpirmahín ko lang, may gustó ka ba sa akin?	I would just like to confirm, do you like me?
May nagbayad na ba ng membership fee?	Has anyone paid the membership fee yet?
May nagáganáp na páligsahan sa loób ng auditorium.	There is a competition going on inside the auditorium.
May naáamóy ka bang parang nasusunog?	Do you smell something (like it's) burning?
Nagsasaka ang amá ko para may kabuhayan kamí.	My father cultivates land so we could earn a living.
Kung may mátiráng pagkain, iuwî mo sa anák mo.	Any leftover food, take home to your child.
May nawáwalán ba sa inyó dito ng hikaw?	Is anyone here missing an earring?
May natututunan ka ba sa klase?	Do you learn anything in class?
Sa paglilingkód may nadadagdág na aspekto sa buháy mo.	In your service a new dimension is added to your life.
Makuntento ka kung may tirahan at pagkain ka.	If you have shelter and food, that should be enough for you.
May gustó ka bang itanóng?	Is there a question you'd like to ask?
Makákatawa ka ba kapág may nakatutok na baríl sa iyó?	Would you be able to laugh if a gun was pointed at you?
May kakilala akóng nagyabáng na mayaman siyá.	I've known someone who boasted that she was rich.
May dadalawin akó sa ospitál.	I will visit someone at the hospital.
Puwedeng lakarin pero may kalayuan.	It's walkable but it's quite a distance.
May naráramdamán ka ba?	Do you feel that something is wrong with you (healthwise)?
Hindî inakalà ni Shey na may makákakilala sa kaniyá.	Shey didn't think that anyone would recognize him.
Namunò si Chanda nang may pagmamahál.	Chanda led with love.
May malamlám na kandilà na nakapatong sa malapad na mesa.	There is a dim candle sitting on top of a wide table.
May gustó kamíng ipaalám sa iyó.	There's something we'd like you to know.
Kung may lagnát ka, manatili ka lang sa bahay.	If you have a fever, just stay home.
May napilì ka na ba?	Have you made your choice?
Hanggá't may kakainin, kumain tayo.	As long as there's food to eat, let's eat.
Huwág manlabán kung may baríl ang mágnanakaw.	Don't resist if the thief has a gun.
May nabábanggít ba sa iyó si Jill tungkól kay Jack?	Has Jill mentioned anything to you about Jack?
May ibinebenta na alahas si Rose.	Rose is selling a piece of jewelry.
Sa kabuuán, may 150 kalahók mulâ sa 10 bansâ.	In all, there are 150 participants from 10 countries.
May nabanggít ba sa iyó si Tom?	Did Tom mention anything to you?
May gustóng kumausap sa iyó.	There's someone who would like to talk to you.
May anák pô ba kayó?	Do you all/both have kids?
May kinukuha ka ba sa bag ko?	Are you taking something from my bag?
Dumadami na ang bilang ng mga Pinóy na may COVID-19.	The number of Filipinos with COVID-19 is increasing.
May tiwalà akóng makákabawì ka.	I have confidence that you will recover.
May nagpaputók ng lobo.	Someone popped a balloon.
May imahen ng santo sa prusisyón.	There is a saint's image in the procession.
Sumagì ang kurtina sa kandilà na may apóy.	The curtain touched the lighted candle.
Parang may kumákatók sa pintô.	I think someone's knocking at the door.
Mamumunò akó nang may integridád kapág nanalo akó sa halalan.	I will lead with integrity if I win the elections.
Isugod mo sa beterinaryo ang iyóng asong may karamdaman.	Bring your unwell dog to the veterinarian immediately.
Sumulat akó ng liham sa alkalde para hilingín na may dumalaw sa lugár namin.	I wrote a letter to our mayor to ask for someone to visit our place.
May iláng bagay na dapat kong makasanayan.	There are some things I should get used to
May kakayahán si Ruby na hulaan ang mangyayari sa hináharáp.	Ruby has the ability to foretell future events.
May naáamóy akóng parang usok.	I smell something like smoke.
May pakiramdám akóng magwawagî ka.	I have this feeling that you'll win.
May anim na taong dumagdág sa grupo namin.	There are six people that were added to our group.
May sumulpót na makamandág na ahas!	There is a venomous snake!
May ideya akó sa itátanghál niláng palabás bukas.	I have an idea about the show they will present tomorrow.
May mga kaibigan akóng hindî nagpápaskó.	I have friends who don't celebrate Christmas.
May kunin lang akó saglít.	I need to get something real quick.
May naitutulong ba ang panalangin?	Does it do any good to pray?
May naitaláng apat na bagong urì ng ibon sa Palawan.	Four new species of birds have been recorded in Palawan.
Kailangang may namumunò sa bawa't organisasyón.	Each organization should have a leader.
Nakákakuha lang ng respeto ang taong may paggalang sa ibá.	A person only earns respect when he respect others.
May pribiléhiyó ka bang mapabilang sa kanilá?	Do you have the privilege of being one of them?
May kaugnáy ka pang mga tanóng?	Do you have pertinent questions?
May kumakalat na tsismis tungkól sa iyó.	There's a rumor going around about you.
Hindî na nadádakíp ang mga maninindáng may pahintulot mulâ sa munisipyo.	Vendors with permits from the city hall are no longer arrested.
Mahigít 100 katao na ang may COVID-19 sa Pilipinas.	More than 100 people now have COVID-19 in the Philippines.
May mga alyado siyá na magtátanggól sa kaniyá.	She has allies who will defend her.
May pinaníniwalaan ka bang diyós?	Do you believe in a god?
May kakayahán si Sheila para magpatakbó ng sariling negosyo.	Sheila has the skills to run her own business.
Sabi niyá, "May sasabog na bomba."	He said, "A bomb will explode."
Salubungin mo kamí sa may pasukán ng mall.	Meet us near the mall's entrance.
Nais kong manirahan sa isáng lugár na palaging may araw.	I want to live in a place that always has sunshine.
May duméderetso bang bus dito?	Is there a bus that goes all the way to here?
May sumilip sa bintanà.	Someone peeped through the window.
May nadídiníg / naririníg akóng umíiyák.	I hear someone crying.
May nagustuhán ka ba?	Did you find something you like?
May nalaman akó tungkól sa iyó.	I found out something about you.
May nakuha ka bang yaya para sa iyóng anák?	Were you able to find a nanny for your child?
Ipinalabás niláng ikáw ang may kasalanan.	They made it appear that it was your fault.
May naiiwan ba sa bahay ninyó kapág kayó ay nagbábakasyón?	Does someone stay in your house when you go on vacation?
May ikinákasál ngayón sa loób ng simbahan.	There's a couple getting married now inside the church.
Bakit pa kayó lumayô, may mas malapit namáng mall dito.	Why did you still have to go far, there's a closer mall to here.
Kung may isáng milyón ka sa bangko, magkano ang kikitain nun sa isáng taón?	If you have a million in the bank, how much will it earn in a year?
May binanggít ba sa iyó si Mary tungkól sa akin?	Did Mary mention anything to you about me?
Magugulat ka ba kung sasabihin ko sa iyóng may asawa si Juliet?	Will you be surprised if I were to tell you that Juliet is a married woman?
Naáamóy ng aso kapág may tao sa pintô.	The dog can sense if there's someone at the door.
Puntahán mo lang akó kapág may kailangan ka.	Just come and see me if you need anything.
Pwede mong utusan si Paul kung may kailangan ka.	You may ask Paul to do your errands / should you need anything.
