Madalíng pawisan ang atleta.	The athlete perspires easily.
Mas madalíng makasirà ng kama ang mas mabigát na tao.	A heavier person can wear out a bed more quickly.
Para siyáng hamóg na madalíng naglalahò.	He's like the dew that quickly vanishes.
Madalî kong nalampasán ang kinaharáp kong takot sa entablado.	It was easy for me to overcome the fear I faced on stage.
Madalíng mabíktimá ang mga taong walâ sa sarili.	Absent-minded people can easily be victimized.
Madalî akóng makalimot ng mga pangalan.	I easily forget names.
Madalî siyáng nakabawì mulâ sa pagkabigo.	She recovered quickly from setbacks.
Madalî siyáng mágising.	He's a light sleeper.
Hindî madalíng bumuô ng matatág na pagsasama.	Building a stable marriage is not easy.
Libre at madalî ang pagsusurì ng COVID-19.	COVID-19 testing is free and quick.
Madalíng asarín si Rose.	Rose is easy to infuriate.
Madalíng tukuyin ang mga kalakasan niyá.	It's easy to identify his strengths.
Madalíng maasár si Wendell.	Wendell gets frustrated easily.
Hindî madalî, pero makakaya ko ang pagsubok na itó.	It's not easy, but I can cope with this challenge.
Madalî lang magpatakbó ng salon.	It's easy to operate a salon.
Madalíng magaya ang boses ni Jay.	Jay's voice is easy to imitate.
Madalíng mairitá si Evelyn.	Evelyn is easily irritated.
Gamitan mo ng guntíng para mas madalî siyáng putulin.	Use scissors to make it easier to cut.
Madalî kang makákaramdám ng pagod kapág naglarô ka ng tennis.	You will quickly feel tried if you'd play tennis.
Madaling mapagod si Tom.	Tom gets tired easily.
Madali lang sagutin iyon.	It was easy to answer.
Madaling mabasag ang bubog.	Glass breaks easily.
Sa madaling salita, siya ay tamad.	In other words, he is lazy.
Madaling mabuhol ang sinulid na ito.	This thread tangles easily.
Sisikat muli ang araw sa madaling panahon.	The sun will shine again soon.
Mas madaling maluto ang sibuyas kaysa patatas.	Onions cook more quickly than potatoes.
Di madaling pag-aralan ang isang dayuhang wika.	It is not easy to learn a foreign language.
Di madaling pag-aralan ang isang banyagang wika.	It is not easy to learn a foreign language.
Mas madali sa akin ang magpranses kaysa sa mag-ingles.	I find it much easier to speak French than English.
Ang pagpatay ay naganap sa pagitan ng alas 3 at alas 5 ng madaling araw.	The murder happened between 3 a.m. and 5 a.m.
