A dog bit me.	Kinagat ako ng aso.
A snake bit me.	Tinuklaw ako ng ahas.
I am being given life by my goal to serve my homeland.	Binubuhay akó ng hangarin kong magsilbí sa bayan.
I am feeling nervous.	Kinakaba ako.
I became thirsty.	Inuhaw ako.
I can't breathe when an asthma attack occurs.	Hindî akó makahingá kapág sinusumpóng akó ng hikà.
I don't feel like watching a movie today.	Tinátamád akóng manoód ng sine ngayón.
I don’t feel like cooking.	Tinatamad akong magluto.
I felt nervous when I got the news that I woud report.	Kinabahán akó nang malamang magrerepórt akó.
I got caught in the rain (the rain caught up to me) on my way home.	Inabot akó ng ulán sa pag-uwî.
I got goose bumps.	Kinilabutan ako.
I got lucky.	Sinuwerte ako.
I got sleepy.	Inantok ako.
I had a gun pointed at me.	Tinutukan ako ng baril.
I ran out of money.	Kinapos ako sa pera.
I was born on January 5th, 1990.	Ipinanganák akó noóng Enero 5, 1990.
I was born on the 18th of March 1994.	Pinanganak ako noong ika-18 ng Marso 1994.
I was born on the third of June, year 1979.	Ipinanganak ako noong ikatlo ng Hunyo, taong 1979.
I was born there.	Ipinanganak ako roon.
I was forced by Lyla to reveal to her my secret.	Pinilit akó ni Lyla na ibunyág sa kaniyá ang aking lihim.
I was requested to sign the ticket.	Pinakiusapan akóng lagdaán ang tiket.
I was scolded.	Pinagalitan ako.
I was stolen from.	Ninakawan ako.
I was very hungry.	Ginutom ako ng maigi.
I'm cold.	Giniginaw ako.
I'm feeling lazy.	Tinatamad ako.
I'm nervous	kinakabahAn ako
I'm sleepy.	Inaantok ako.
It took me more than two hours to translate a few pages of English.	Inabot ako ng mahigit dalawang oras sa pagsalin ng ilang pahina sa Ingles.
It's too cold in here. I'm shivering.	Masyadong malamíg dito. Kiníkilíg akó.
I’m feeling lazy.	Tinatamad ako.
I’m feeling nervous.	Ninenerbyos ako.
I’m feeling thirsty.	Inuuhaw ako.
I’m nervous.	Kinakabahan ako.
Katy's story gives me goosebumps.	Tinátayuán akó ng balahibo sa kuwento ni Katy.
My dad is teaching me how to cook.	Tinuturuan ako magluto ng aking tatay.
Naninibago ako sa hitsura niya.	I'm not used to his appearance.
Naniniwala ako sa iyo.  ("I am believing in you.")
Naniniwalà akó sa'yó	I agree with you
Napápailíng akó sa pinagsasabí mo.	I am shaking my head in disbelief at what you're saying.
Please speed up, mister, I am in a hurry.	Paki-bilisan lang, mama, at may hinahabol ako.
Singing made me thirsty.	Inuhaw ako sa pagkanta.
The dog smelled me.	Inamoy ako ng aso.
The movie we watched made me sleepy.	Inantók akó sa pinanoód natin.
The nurse hit me in the back of my head (with her hand).	Binatukan ako ng nars.
The professor gave me a failing grade.	Binagsak ako ng propesor.
The teacher gave me an earful.	Sinabon ako ng titser.
There’s something I’m planning to do.	May binabalak akong gawin.
This is the first time I've ever sweated so much.	Ito ang unang beses na pinawisan ako nang husto.
To fail to show up at an appointment. Ex. Inindian ako ng gelprend ko sa deyt namin. My girl didn't show up on our date.	Indian
Tom loved me.	Minahal ako ni Tom.
Tom paid me.	Binayaran ako ni Tom.
Tom teaches me French.	Tinuturuan ako ni Tom ng wikang Pranses.
