Bumalík ka agád.	Come back right away.
Tayuán mo agád ng bahay ang lupáng binilí mo.	Build a house immediately on the land you purchased.
Agád na nadiskubré ni Leni na naloko siyá.	Leni immediately found out that she had been scammed.
Maglálaán kamí agád ng medikál na pangángalagà.	We will immediately provide medical care.
Bakit ka bumalík agád?	Why did you return so soon?
Hindî kamí agád nagkatrabaho gaya ng ináasahan namin.	Work did not come as soon as we had hoped.
Nagtrabaho agád akó nang makatapos ng koléhiyó.	I worked right away when I graduated from college.
Agád nagmurá ang babaeng may-arì ng tindahan.	The female owner of the store immediately cursed.
Bábalík akó agád.	I will be back soon.
Pasénsiya na. Hindî kitá nakilala agád.	Sorry. I did not recognize you right away.
Pahirám muna at ibábalík ko agád.	Please lend it to me first and I'll give it right back.
Ihain mo agád ang sinigáng at dinuguán.	Serve the sinigang and dinuguan immediately.
Isáng sulyáp mo lang, kíkiligín agád akó.	Your glance will sweep me off my feet.
Hindî siyá agád nakákatapos ng trabaho.	He can't finish work right away.
Dapat isugód agád sa klíniká ang isáng batáng mataás ang lagnát.	A child with a high fever should be rushed to the clinic.
Tatawag ako agad.	I'll call back soon.
Sulatan mo ako agad!	Do write to me soon!
Agad na sumagot si Tom.	Tom responded immediately.
Gusto kong gawin mo agad.	I want you to do it at once.
Nakilala ko ang boses mo agad.	I recognized your voice right away.
Kailangan mong pumunta roon agad.	It is necessary for you to go there immediately.
Masasanay ka agad nang pamumuhay sa bukid.	You'll soon get used to living in the country.
