yes, obviously	Oo halatang maysakit na 
I'll call you in a few minutes / a little while	tatawag sa iyo sa ilang minuto. 
for what it's worth	Para sa Kung Anong halaga nito. 
I need to get ready for work	Maghanda para sa trabaho. 
get rid of it	Tanggalin mo 
if I remember correctly	Kung Tama ang pagkakaalala. 
when can we talk?	Kelan Tayo pwedeng mag usap? 
it doesn't make sense	Wala itong saysay. 
I don't do things like that	Hindi ako gumagawa Ng mga ganyan. 
who needs it	Kung sino Ang nangangailangan nito. 
no thanks	Hindi, salamat 
I'm rooting for you	I'm rooting para sa iyo 
I'll get more later	kukunin ko mas (marami) mamaya 
I don't spend much time there	hindi na ako gumugugol Ng maraming oras doon. 
two out of three	Dalawa sa tatlo 
getting to know someone	Ang nakakakilala sa Isang tao. 
I have fallen behind in my work	Nahulí ako sa aking trabaho. 
I am feeling stressed out	Nakakaramdam ako Ng stress, 
I'm a little off (my game) today	medyo nalilito ako 
meet in person	makipagkita sa personal.
