sumama sa akin	go with me
bagay na gawa sa tela ito	this thing is made of cloth.
dito na po kayo maghapunan.	please stay for dinner.
nasa-isip kita ng buong araw	I think about you all day.
bata pa po kayo noon.	you were young.
babala, mga usa	warning, deer
baka mabuhat niya ang mesa ngunit malamang hindi.	she might be able to lift the table, but it is unlikely.
halos 4,000 piso ang halaga nito.	it costs about 4,000 pesos..
saan banda ang kalye malvar?	where is malvar street?
may Kailangan mo ba?	Do you need anything?(have need by-you)
ang mga magulang at ang kanilang mga anak na lalaki.	parents and their sons
gusto ninyo ba?	do you-all want?
tandaan mo ito	remember this
lasing na yata ako	I think i'm drunk already
huwag mo akong hintayin	don't wait for me
alas siete na lang	let it be seven o'clock
anong gusto ninyong pagkain?	what would you like to eat?
hindi ko alam kong kailan	I don't know when
malakas ang boses mo	your voice is loud
pupunta na naman kami sa tindahan ni Carla	we are going to Carla's store
heto po ang problema ninyo	here's your trouble
aalis na ako mag-isa	I'm already going to leave alone
aling mga hayop ang bihirang lumalangoy?	which animals seldom swim?
binibisita ko ang aking mga kaibigan	I'm visiting my friends
alam nating nakasulat sa poem ang love letter ito	we know that this love is written as a poem
ang galing po ng bagong coat na ito!	this new coat is great!
aling babae ang may pinakamahabang buhok?	which woman has the longest hair?
gusto ko pong bumili ng t-shirt	I'd like to buy a T-shirt
ginawa niya ang kaniyang homework.	she did his homework.
angkop ang bolang ito para sa paglalaro ng basketball	this is the right ball for playing basketball
aling tao ang may dalawang binting wala sa lupa?	which animal has all four legs off the ground?
tatawagan ko ang doktor	I will call the doctor
ang lalaki at ang kanyang kapatid na babae	a man with his sister
hindi sila nakaupo	no, they are not sitting
nagkukunwaring tulog	pretending to be asleep
mama, parang ang bilis yata ng metro mo	mister, it seems that your taxi meter is moving too fast
anong binabasa mo?	what are you reading?
dalhin natin siya sa ospital	let's take her/him to the hospital
gusto kong mag-tagal	I want to stay
ang mga damit-pangmatanda	adults' clothing
alas otso kwarenta y singko na ng gabi	it is nine forty-five at night
ano ang makikita dito?	what is there to see here?
pahingi naman ng supot	please give me a bag
kailan aalis ang bus para sa Maynila?	when will the bus leave for Manila?
handa nang tumakbo ang mga batang lalaki	the boys are ready to run
bababa na po kaagad ang nanay ko	my mom will be right down
gusto kong kumain ng sorbetes	I want to eat ice cream
bagay na gawa sa salamin at bato ito	this thing is made of glass and stone
matamis na panaginip	sweet dream
alin dito ang mas masakit?	which one is more painful?
susundan kita.	I will follow you
atrasado ba ang flight?	is the flight delayed?
inantok siya.	she got sleepy
gumagamit ng timbangan ang nars para timbangin si Eva	the nurse is using a scale to weigh Eva
pwede bang pakigamit ang metro?	can you please use the meter?
karapatan ko ito	this is my right
anong binili mo kahapon?	what did you buy yesterday?
nauuhaw po ba kayo?	are you thirsty? (plural, formal)
