Walâ ka bang nakákalimutan?	Aren't you forgetting something?
Bakâ makalimutan mong sa Linggó ang birthday ni Alice.	You might forget that this Sunday is Alice's birthday.
Nakalimutan ko ang susì ko.	I forgot my key.
Hindî kitá malílimutan / makalílimutan.	I will never forget you.
Nakalimutan ko na.	I already forgot.
Nakalimutan ngâ ni John na noóng Sunday ang birthday ni Alice.	John really forgot that last Sunday was Alice's birthday.
Hindî ko pa nakákalimutan ang petsa ng una tayong magkita.	I still have not forgotten the date when we first met.
Hindî mo makákalimutan ang una mong pag-ibig.	You will never forget your first love.
Minsan nakákalimutan ni Richard na patayín ang ilaw sa garahe.	At times Richard forgets to turn off the light at the garage.
Nakalimutan niyá kung dapat siyáng maghintáy, o hindî.	She forgot whether she was supposed to wait or not.
Nakalimutan mo na.	You've already forgotten.
Nakalimutan namin.	We forgot.
Muntik ko na makalimutan.	I almost forgot.
Nakalimutan mo nang bata ka noon?	Have you forgotten that you were young once?
Nakalimutan mong patayin ang ilaw.	You left your lights on.
Makakalimutan mo rin ako balang araw.	You'll forget about me someday.
Nakalimutan namin na ayaw mo ng pizza.	We forgot you don't like pizza.
Sasabihin ko sa iyo bago ko makalimutan.	Before I forget, I will tell you.
Nakalimutan niyang magdala ng mga damit.	He forgot to bring clothes.
Nakalimutan ba niyang kasintahan ko siya?	Did he forget I'm his boyfriend?
Nakalimutan ba nila na kaarawan ko bukas?	Did they forget tomorrow's my birthday?
Nakalimutan ba ninyo na ako ang bos dito?	Did you forget I'm the boss here?
Nakalimutan kong dalhin ang aking payong.	I forgot to bring my umbrella with me.
Nakalimutan ko talaga na may pasok ngayon!	I completely forgot that there was class today!
Di ko makakalimutan ang inyong kagandahang-loob.	I shall never forget your kindness.
Lasing siya't nakalimutan sarhan ang pinto sa likod.	He was drunk and forgot to shut the back door.
Nakalimutan nilang may susi ako para sa pintuang 'yon.	They forgot I got a key to that door.
Nakalimutan ba nilang bibisitahin ko sila ngayong araw na'to?	Did they forget I'm going to visit them today?
Nakalimutan ba ng mga batang magsipilyo ng mga ngipin bago sila pumaroon sa kama?	Did the children forget to brush their teeth before they went to bed?
