Bakâ may magnakaw niyán.	Someone might steal that.
Kasalanan ang magnakaw.	Stealing is a sin / an offense.
May nagnakaw ng bag ni Wendy.	Someone stole Wendy's bag.
Nahuli si Paul na nagnanakaw.	Paul was caught stealing.
Hinihinalang nagnakaw si Paul ng alahas.	Paul is suspected of stealing jewelry.
Tinangkâ niyáng magnakaw ng sapatos.	She attempted to steal a pair of shoes.
Sinibák ko ang empleyadong nagnakaw sa kompanyá.	I terminated the employee who stole from the company.
Ipinápangakò niláng hindî na silá magnanakaw.	They promise that they won't steal anymore.
Nadádakíp ng guwárdiyá ang mga nagnanakaw ng panindá.	Shoplifters are being caught by the guard.
Siyá umanó ang nagnakaw ng laptop ni Ced.	He allegedly stole Ced's laptop.
May nagnakaw sa lahat ng pera ko.	Someone has stolen all my money.
Pipiliin ko ang mamatay kaysa magnakaw.	I would rather die than steal from others.
May nagnakaw sa aking payong sa panaderya.	Someone stole my umbrella at the bakery.
