Anó ang pangalan mo?	What is your name?
Denden ang pangalan ko.	My name is Denden.
Sinirà mo ang pangalan mo.	You ruined your reputation.
Akó ang magtatalâ ng mga pangalan natin.	I will register our names.
Inaatasan kitáng magtalâ ng mga pangalan ng liliban sa klase.	I assign you to list down the names of those who will be absent in class.
Natátandaán kitá pero hindî ko maalala ang pangalan mo.	I remember you, but I can't remember your name.
Natanggál ang pangalan ni Cathy sa listahan.	Cathy's name was taken off the list.
Idinagdág ko ang pangalan mo sa listahan.	I added your name to the list.
Alíng dokumento ang maglálamán ng mga pangalan ng mga kalahók?	Which document will contain the names of the participants?
Ikáw mismo ang sumirà ng pangalan mo.	You yourself ruined your reputation.
Gustó ni Prince magpalít ng pangalan.	Prince would like his name changed.
Limampúng pangalan pa lang ang naitatalâ ni Ditas.	So far, Ditas has put only fifty names on the list.
Siguradong matátandaán mo rin ang pangalan niyá.	For sure you will eventually remember his name.
Sinusulat niyá ang pangalan ko sa talaan.	She is writing my name in the record.
Nasasabi na ba ng anák mo ang pangalan niyá?	Is your child already able to say his name?
Tom ang kanyang pangalan.	His name's Tom.
Ang pangalan ko ay Ludwig.	My name is Ludwig.
Ang pangalan ko ay Hisashi.	My name is Hisashi.
Anong pangalan nitong prutas?	What's the name of this fruit?
Ang tunay kong pangalan ay Tom.	My real name is Tom.
Fritz ang pangalan ng tatay ko.	My dad's name is Fritz.
Pusa ako. Wala pa akong pangalan.	I am a cat. I don't have a name yet.
Alam ko ang pangalan nilang lahat.	I know all their names.
Isulat mo ang pangalan at address mo.	Write your name and address.
Di matandaan ni Tomas ang pangalan ko.	Tom doesn't remember my name.
Binanggit niya ang pangalan mo sa akin.	He mentioned your name to me.
Binigay ng sundalo ang kanyang pangalan.	The soldier gave his name.
Alam ng bawat tao ang aming mga pangalan.	Everyone knows our names.
Ayokong malaman kung ano ang pangalan niya.	I don't want to know what his name is.
Sobrang gusto ko ang tunog ng kanyang pangalan.	I love the sound of his name.
May anak siyang babae na ang pangalan ay Maria.	She has a daughter whose name is Mary.
Tinawag ng guro ang pangalan ng bawat estudyante.	The teacher called each student by name.
Ano nga ang pangalan ng hotel? Hindi ko matandaan.	What was the hotel called? I can't remember.
Sabihin mo sa akin ang pangalan ng ika-9 na buwan.	Tell me the name of the ninth month.
Isulat ang iyong pangalan at address sa sobreng ito.	Write your name and address on this envelope.
May dumadalaw na ang pangalan ay Ono na gustong makita ka.	A person named Ono has dropped by to see you.
Sa anong wika ang gusto mong makita ang mga pangalan ng hayop?	In which language do you want to see names of animals?
