Sino silá?	Who is it?
Sino ang naipit sa pagitan ng dalawáng lumakíng ilog?	Who was trapped between two swollen rivers?
Sino ang tumayâ ng bilang ng mga dumaló?	Who estimated the number of attendees?
Sino ang nanghingî sa iyó ng abuloy?	Who solicited contribution from you?
Sino ang pipiliin mo sa dalawáng kandidato?	Whom would you select between the two candidates?
Sino ang púpuntá sa salusalo mámayáng gabí?	Who's going to the party tonight?
Sino ang gustóng mauná?	Who would like to go first?
Natukoy na ba ninyó kung sino ang sumirà ng gamit ko?	Have you already identified the person who destroyed my stuff?
Sino ba ang gustóng magkasakít?	Who on earth would like to get sick?
Sino ang nagtátanóng?	Who's asking?
Sino ang gáganáp sa papél na Tom Sawyer?	Who will perform the role of Tom Sawyer?
Sino ka?	Who are you?
Sino siyá?	Who is he?
Sino ang gumawâ nitó?	Who did this?
Sino ang naglulutò sa bahay ninyó?	Who does the cooking at (your) home?
Sino?	Who?
Sino 'to?	Who's this?
Sino sila?	Who are those guys?
Sinong tumayo?	Who stood?
Sinong sumuko?	Who surrendered?
Sinong kumain?	Who ate?
Sinong tumakbo.	Who ran?
Sinong nandaya?	Who cheated?
Sinong nahulog?	Who fell?
Sinong sumigaw?	Who yelled?
Sinong nakinig?	Who listened?
Sinong lumangoy?	Who swam?
Sinong nakawala?	Who escaped?
Sinong may alam?	Who knows?
Sinong nagsalita?	Who talked?
Sinong nakatakas?	Who escaped?
Sinong nagreklamo?	Who complained?
Sino ang nobyo mo?	Who's your boyfriend?
Sinong tinanong mo?	Who did you ask?
Sinong nakakaalala?	Who remembers?
Sino ang titser mo?	Who is your teacher?
Sino ang taong ito?	Who is this person?
Sinong may pakialam?	Who cares?
Sinong nagboluntaryo?	Who volunteered?
Sinong demonyo ka ba?	Who the hell do you think you are?
Sino ang nauna sa inyo?	Which of you was here first?
Sino ang hinihintay mo?	Who are you waiting for?
Sino ang gagawa ng ano?	Who's going to do what?
Sinong sumulat ng libro?	Who was the book written by?
Sino ang hinahanap niyo?	Who are you looking for?
Sino ka at saan ka galing?	Who are you and where do you come from?
Sinong hepe nitong gusali?	Who is in charge of this building?
Sino may gusto ng sorbetes?	Who's up for some ice cream?
Nagtataka ako kung sino sila.	I wonder who they are.
Sinong nagsabi na masama 'to?	Who said it is bad?
Sinong magsasalita ngayong gabi?	Who is going to speak tonight?
Wala akong ideya kung sino siya.	I had no idea who she was.
Sinong nagbabantay sa asong ito?	Who looks after this dog?
Sinong nakatira sa bahay na iyon?	Who lives in that house?
Huwag mong kalimutan kung sino ka.	Don't forget who you are.
Sino ang bumato ng bato sa aso ko?	Who threw a stone at my dog?
Sinong nagtuturo sa iyo ng Pranses?	Who teaches you French?
Sino ang may gusto, pwedeng kumuha.	Whoever wants it may take it.
Sinong gusto ng mainit na tsokolate?	Who wants some hot chocolate?
Sino ang mas matangkad, ikaw o si Ken?	Who is taller, you or Ken?
Si Tom ang sinong nakakita sa bangkay.	Tom was the one who discovered the body.
Sino ang kasama mo magdiwang ng Pasko?	With whom are you spending Christmas?
Sino ang nagmamay-ari sa bahay na ito?	Who owns this house?
Sinong nagtuturo sa iyo ng wikang Aleman?	Who teaches you German?
